Abnormal Permissions,Label,Source,Package,API,Call stack,Library,Library Class
CAMERA,RNDNR,huawei_appgallery,com.newandromo.dev631029.app807991,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,RNDNR,huawei_appgallery,com.newandromo.dev631029.app807991,open,org.chromium.materials.VideoCaptureFactory.isZoomSupported,Chromium,Utility
READ_PHONE_STATE,NR,huawei_appgallery,com.plan.kot32.tomatotime,,
READ_PHONE_STATE,NR,huawei_appgallery,com.sdjuliang.lanrenjob,getRunningAppProcesses,com.tencent.qcloud.tuicore.ServiceInitializer.onCreate,Tencent Qcloud,Utility
READ_PHONE_STATE,NR,huawei_appgallery,com.sdjuliang.lanrenjob,getSubscriberId,org.chromium.android_webview.AwContentsClientBridge.shouldOverrideUrlLoading,Chromium,Utility
READ_PHONE_STATE,RNDNR,huawei_appgallery,com.shopback.app,getRunningAppProcesses,com.shopback.app.core.utility.PerformanceMonitorProvider.onCreate,app,app
ACCESS_COARSE_LOCATION,NR,huawei_appgallery,com.shopee.tw,getAllCellInfo,com.shopee.threadpool.b$a.run,,
READ_PHONE_NUMBERS,RNDNR,huawei_appgallery,com.shopee.tw,getLine1Number,com.shopee.app.network.util.n$a.run,,
READ_PHONE_STATE,RNDNR,huawei_appgallery,com.shopee.tw,getRunningAppProcesses,com.shopee.app.startup.InitialProvider.attachInfo,,
READ_SMS,RNDNR,huawei_appgallery,com.shopee.tw,getLine1Number,com.shopee.app.network.util.n$a.run,,
READ_PHONE_STATE,NR,huawei_appgallery,com.talk51.international,getRunningAppProcesses,com.talk51.international.core.app.MainApplication.onCreate,app,app
READ_PHONE_STATE,RNDNR,huawei_appgallery,com.wodan.xianshijian,getRunningAppProcesses,bykvm_19do.bykvm_19do.bykvm_if122.bykvm_int108.d$b.run,穿山?�SDK,Ad
ACCESS_COARSE_LOCATION,NR,huawei_appgallery,com.xingin.xhs,getAllCellInfo,com.xingin.tiny.internal.b7$c.run,,
READ_PHONE_STATE,NR,huawei_appgallery,com.xingin.xhs,getRunningAppProcesses,xv4.c$a.run,,
READ_PHONE_STATE,NR,huawei_appgallery,com.xingin.xhs,getSubscriberId,,,
READ_PHONE_STATE,NR,huawei_appgallery,com.youhonginc.sz,getRunningAppProcesses,com.bytedance.sdk.openadsdk.core.d$1.run,Pangle SDK,Ad
RECEIVE_BOOT_COMPLETED,IND,huawei_appgallery,com.zhiliaoapp.musically.go,,
READ_PHONE_STATE,RNDNR,huawei_appgallery,gr.iqs.taxi_plon,,
CAMERA,RNDNR,huawei_appgallery,homeworkout.homeworkouts.noequipment,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,RNDNR,huawei_appgallery,homeworkout.homeworkouts.noequipment,open,org.chromium.materials.VideoCaptureFactory.isZoomSupported,Chromium,Utility
CAMERA,RNDNR,huawei_appgallery,loseweightapp.loseweightappforwomen.womenworkoutathome,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,RNDNR,huawei_appgallery,loseweightapp.loseweightappforwomen.womenworkoutathome,open,org.chromium.materials.VideoCaptureFactory.isZoomSupported,Chromium,Utility
ACCESS_COARSE_LOCATION,RND,huawei_appgallery,org.nixgame.compass.huawei,requestPermissions,org.nixgame.compass.activity.ActivityMain.onCreate,,
CAMERA,RNDNR,huawei_appgallery,sixpack.sixpackabs.absworkout,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,RNDNR,huawei_appgallery,sixpack.sixpackabs.absworkout,open,org.chromium.materials.VideoCaptureFactory.isZoomSupported,Chromium,Utility
READ_PHONE_STATE,NR,qq,com.alibaba.wireless,,
ACCESS_COARSE_LOCATION,NR,qq,com.baidu.searchbox,getAllCellInfo,com.baidu.location.d.a$b.handleMessage,Baidu Location SDK,Utility
ACCESS_COARSE_LOCATION,NR,qq,com.baidu.searchbox,getCellLocation,com.baidu.location.d.a$b.handleMessage,Baidu Location SDK,Utility
CAMERA,NR,qq,com.baidu.searchbox,getCameraInfo,com.baidu.graph.camera.CameraManager.handleMessage,,
CAMERA,NR,qq,com.baidu.searchbox,open,com.baidu.graph.camera.CameraManager.handleMessage,,
READ_PHONE_STATE,NR,qq,com.clicheandroid.server.ctsdazzlin,getRunningAppProcesses,com.xm.ark.privacyAgreement.PrivacyAgreementDialog$1.onClick,,
READ_PHONE_STATE,RNDNR,qq,com.clover.daysmatter,,
READ_PHONE_STATE,NR,qq,com.geshi.formatfactory,getRunningAppProcesses,io.reactivex.internal.schedulers.ScheduledRunnable.call,ReactiveX,Programming
READ_PHONE_STATE,NR,qq,com.jx885.lrjk,,
ACCESS_COARSE_LOCATION,NR,qq,com.klook,getAllCellInfo,c.t.m.g.er$a.handleMessage,,
ACCESS_COARSE_LOCATION,NR,qq,com.klook,getCellLocation,c.t.m.g.er$a.handleMessage,,
ACCESS_COARSE_LOCATION,NR,qq,com.klook,startScan,c.t.m.g.ek$a.handleMessage,,
BLUETOOTH_ADMIN,IND,qq,com.klook,startScan,c.t.m.g.ek$a.handleMessage,,
BLUETOOTH_ADMIN,IND,qq,com.klook,stopScan,c.t.m.g.ek$a.handleMessage,,
CHANGE_WIFI_STATE,IND,qq,com.klook,startScan,c.t.m.g.eu$1.run,,
READ_PHONE_STATE,RNDNR,qq,com.klook,getRunningAppProcesses,com.klooklib.activity.SplashActivity.onCreate,app,app
READ_PHONE_STATE,RNDNR,qq,com.klook,getSubscriberId,com.tencent.map.geolocation.a.a.e$a.handleMessage,TencentMapSDK,Utility
READ_PHONE_STATE,RNDNR,qq,com.liuniantech.xiangji,,
READ_PHONE_STATE,NR,qq,com.meitu.meiyancamera,,
READ_PHONE_STATE,NR,qq,com.mendon.riza,getRunningAppProcesses,ie0.run,,
READ_PHONE_STATE,NR,qq,com.mt.mtxx.mtxx,,
ACCESS_COARSE_LOCATION,NR,qq,com.mxbc.mxsa,getCellLocation,com.loc.d$b.run,,
ACCESS_COARSE_LOCATION,NR,qq,com.mxbc.mxsa,getAllCellInfo,com.loc.d$b.run,,
READ_PHONE_STATE,NR,qq,com.mxbc.mxsa,,
CAMERA,NR,qq,com.Qunar,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,NR,qq,com.Qunar,open,org.chromium.materials.VideoCaptureFactory.isZoomSupported,Chromium,Utility
READ_PHONE_STATE,NR,qq,com.szsr.shopeeteaching,,
